event,camera,person_a,person_b,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:16:36.574+00:00,2026-07-23T06:16:46.825+00:00,10.251,0.6850,sustained_proximity_estimate
ENDED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:16:36.574+00:00,2026-07-23T06:16:46.825+00:00,10.251,0.6850,sustained_proximity_estimate
STARTED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:12.228+00:00,11.322,0.7747,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:12.724+00:00,11.818,0.8036,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:13.297+00:00,12.391,0.8509,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:13.812+00:00,12.906,0.8877,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:14.369+00:00,13.463,0.8164,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:15.763+00:00,14.857,0.7876,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:16.255+00:00,15.349,0.8142,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:16.737+00:00,15.831,0.7910,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:17.266+00:00,16.360,0.8341,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:17.713+00:00,16.807,0.8045,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:18.964+00:00,18.058,0.7804,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:19.435+00:00,18.529,0.7633,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:19.893+00:00,18.987,0.8092,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:20.392+00:00,19.486,0.8084,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:20.826+00:00,19.920,0.8145,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:22.128+00:00,21.222,0.7937,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:22.597+00:00,21.691,0.7899,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:23.005+00:00,22.099,0.7916,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:23.580+00:00,22.674,0.7804,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:24.157+00:00,23.251,0.8402,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:25.412+00:00,24.506,0.7882,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:25.875+00:00,24.969,0.7651,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:26.274+00:00,25.368,0.7564,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:26.701+00:00,25.795,0.7854,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:27.138+00:00,26.232,0.8125,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:28.994+00:00,28.088,0.8348,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:29.490+00:00,28.584,0.7885,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:29.927+00:00,29.021,0.8153,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q3],72dd5b08-3bf1-4c65-bb3e-a4c3f1a443d6,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:17:00.906+00:00,2026-07-23T06:17:30.343+00:00,29.437,0.8208,sustained_proximity_estimate
