event,camera,person_a,person_b,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:17.773+00:00,2026-07-23T07:46:19.376+00:00,1.603,1.2045,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:17.773+00:00,2026-07-23T07:46:19.376+00:00,1.603,1.4331,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:17.773+00:00,2026-07-23T07:46:19.376+00:00,1.603,1.2955,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:17.773+00:00,2026-07-23T07:46:19.376+00:00,1.603,1.4442,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:17.773+00:00,2026-07-23T07:46:19.376+00:00,1.603,1.2045,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:17.773+00:00,2026-07-23T07:46:19.376+00:00,1.603,1.4331,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:17.773+00:00,2026-07-23T07:46:19.376+00:00,1.603,1.2955,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:17.773+00:00,2026-07-23T07:46:19.376+00:00,1.603,1.4442,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_29,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:27.775+00:00,1.752,1.1589,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:27.775+00:00,1.752,1.1209,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_29,unknown_track_9,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:27.775+00:00,1.752,1.5688,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:27.775+00:00,1.752,1.2120,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:27.775+00:00,1.752,1.1642,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:27.775+00:00,1.752,1.1116,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_29,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:28.702+00:00,2.679,1.1770,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:28.702+00:00,2.679,1.1072,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_29,unknown_track_9,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:28.702+00:00,2.679,1.4869,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:28.702+00:00,2.679,1.2150,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_29,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:28.702+00:00,2.679,1.1770,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:28.702+00:00,2.679,1.1072,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_29,unknown_track_9,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:28.702+00:00,2.679,1.4869,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:28.702+00:00,2.679,1.2150,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:27.775+00:00,1.752,1.1642,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:26.023+00:00,2026-07-23T07:46:27.775+00:00,1.752,1.1116,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_29,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:34.787+00:00,1.344,1.0929,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:34.787+00:00,1.344,1.1719,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_29,unknown_track_9,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:34.787+00:00,1.344,1.5827,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:34.787+00:00,1.344,1.2216,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:34.787+00:00,1.344,1.1681,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:34.787+00:00,1.344,1.0904,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_29,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.1369,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.1203,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_29,unknown_track_9,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.5972,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.2448,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.1635,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.0834,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_29,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.1369,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.1203,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_29,unknown_track_9,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.5972,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.2448,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.1635,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:33.443+00:00,2026-07-23T07:46:35.508+00:00,2.065,1.0834,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.017+00:00,1.364,1.1059,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.017+00:00,1.364,1.2407,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.017+00:00,1.364,1.1695,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.017+00:00,1.364,1.1227,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.664+00:00,2.011,1.1099,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.664+00:00,2.011,1.2340,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_34,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.664+00:00,2.011,1.1761,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.664+00:00,2.011,1.1334,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:41.341+00:00,2.688,1.1144,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:41.341+00:00,2.688,1.1072,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_25,unknown_track_9,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:41.341+00:00,2.688,1.1144,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,2026-07-23T07:46:38.653+00:00,2026-07-23T07:46:40.664+00:00,2.011,1.2340,sustained_proximity_estimate
