event,camera,person_a,person_b,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_22,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.135+00:00,1.102,1.9223,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_30,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.135+00:00,1.102,0.7717,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_34,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.135+00:00,1.102,1.8451,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_30,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.135+00:00,1.102,1.6700,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.135+00:00,1.102,1.1416,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_5,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.135+00:00,1.102,1.2405,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_9,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.135+00:00,1.102,1.4949,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_5,unknown_track_9,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.135+00:00,1.102,1.4697,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_22,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.727+00:00,1.694,1.9180,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_30,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.727+00:00,1.694,0.7798,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_34,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.727+00:00,1.694,1.8455,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_30,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.727+00:00,1.694,1.6417,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_34,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.727+00:00,1.694,1.1487,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_5,2026-07-23T07:56:31.033+00:00,2026-07-23T07:56:32.727+00:00,1.694,1.2841,sustained_proximity_estimate
