event,camera,person_a,person_b,person_a_name,person_b_name,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:50.968+00:00,1.055,1.6966,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_57,UNKNOWN (track 1),UNKNOWN (track 57),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:50.968+00:00,1.055,1.5353,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,UNKNOWN (track 14),UNKNOWN (track 22),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:50.968+00:00,1.055,0.7681,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_26,UNKNOWN (track 14),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:50.968+00:00,1.055,1.8095,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:50.968+00:00,1.055,1.3847,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_26,UNKNOWN (track 22),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:50.968+00:00,1.055,1.4779,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:51.518+00:00,1.605,1.7393,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_57,UNKNOWN (track 1),UNKNOWN (track 57),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:51.518+00:00,1.605,1.5202,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,UNKNOWN (track 14),UNKNOWN (track 22),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:51.518+00:00,1.605,0.7728,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_26,UNKNOWN (track 14),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:51.518+00:00,1.605,1.8189,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:51.518+00:00,1.605,1.3811,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_26,UNKNOWN (track 22),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:51.518+00:00,1.605,1.4811,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.7724,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_57,UNKNOWN (track 1),UNKNOWN (track 57),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.4943,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,UNKNOWN (track 14),UNKNOWN (track 22),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,0.8162,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_26,UNKNOWN (track 14),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.8351,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.3828,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_26,UNKNOWN (track 22),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.4859,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.7724,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_57,UNKNOWN (track 1),UNKNOWN (track 57),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.4943,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_22,UNKNOWN (track 14),UNKNOWN (track 22),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,0.8162,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_14,unknown_track_26,UNKNOWN (track 14),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.8351,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.3828,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_26,UNKNOWN (track 22),UNKNOWN (track 26),2026-07-23T08:09:49.913+00:00,2026-07-23T08:09:52.108+00:00,2.195,1.4859,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_57,UNKNOWN (track 1),UNKNOWN (track 57),2026-07-23T08:09:55.151+00:00,2026-07-23T08:09:56.295+00:00,1.144,1.6180,sustained_proximity_estimate
