event,camera,person_a,person_b,person_a_name,person_b_name,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:43.585+00:00,1.670,1.1806,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_30,UNKNOWN (track 22),UNKNOWN (track 30),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:43.585+00:00,1.670,0.5259,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_5,unknown_track_9,UNKNOWN (track 5),UNKNOWN (track 9),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:43.585+00:00,1.670,0.6094,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:44.707+00:00,2.792,1.1671,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_30,UNKNOWN (track 22),UNKNOWN (track 30),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:44.707+00:00,2.792,0.5179,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_5,unknown_track_9,UNKNOWN (track 5),UNKNOWN (track 9),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:44.707+00:00,2.792,0.6036,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:45.355+00:00,3.440,1.1426,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_30,UNKNOWN (track 22),UNKNOWN (track 30),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:45.355+00:00,3.440,0.5256,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_5,unknown_track_9,UNKNOWN (track 5),UNKNOWN (track 9),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:45.355+00:00,3.440,0.7615,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:45.355+00:00,3.440,1.1426,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_30,UNKNOWN (track 22),UNKNOWN (track 30),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:45.355+00:00,3.440,0.5256,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_5,unknown_track_9,UNKNOWN (track 5),UNKNOWN (track 9),2026-07-23T08:53:41.915+00:00,2026-07-23T08:53:45.355+00:00,3.440,0.7615,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_18,unknown_track_26,UNKNOWN (track 18),UNKNOWN (track 26),2026-07-23T08:53:51.168+00:00,2026-07-23T08:53:52.369+00:00,1.201,0.9431,sustained_proximity_estimate
