event,camera,person_a,person_b,person_a_name,person_b_name,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_5,UNKNOWN (track 1),UNKNOWN (track 5),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,0.2161,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_9,UNKNOWN (track 1),UNKNOWN (track 9),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,1.1922,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_13,unknown_track_5,UNKNOWN (track 13),UNKNOWN (track 5),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,1.0283,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_13,unknown_track_9,UNKNOWN (track 13),UNKNOWN (track 9),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,0.9281,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_5,unknown_track_9,UNKNOWN (track 5),UNKNOWN (track 9),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,1.0408,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_26,UNKNOWN (track 22),UNKNOWN (track 26),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,0.6450,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_30,UNKNOWN (track 22),UNKNOWN (track 30),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,0.5885,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_26,unknown_track_30,UNKNOWN (track 26),UNKNOWN (track 30),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,0.9985,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_30,unknown_track_34,UNKNOWN (track 30),UNKNOWN (track 34),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,1.2838,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_30,unknown_track_38,UNKNOWN (track 30),UNKNOWN (track 38),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,1.2132,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_34,unknown_track_38,UNKNOWN (track 34),UNKNOWN (track 38),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:42.517+00:00,1.834,0.8501,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_5,UNKNOWN (track 1),UNKNOWN (track 5),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:43.789+00:00,3.106,0.2012,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_9,UNKNOWN (track 1),UNKNOWN (track 9),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:43.789+00:00,3.106,1.1964,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_13,unknown_track_5,UNKNOWN (track 13),UNKNOWN (track 5),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:43.789+00:00,3.106,1.0615,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_13,unknown_track_9,UNKNOWN (track 13),UNKNOWN (track 9),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:43.789+00:00,3.106,0.9361,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_5,unknown_track_9,UNKNOWN (track 5),UNKNOWN (track 9),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:43.789+00:00,3.106,1.0529,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_22,unknown_track_26,UNKNOWN (track 22),UNKNOWN (track 26),2026-07-23T09:02:40.683+00:00,2026-07-23T09:02:43.789+00:00,3.106,0.7129,sustained_proximity_estimate
