event,camera,person_a,person_b,person_a_name,person_b_name,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:10.873+00:00,2026-07-23T10:24:12.869+00:00,1.996,1.0591,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:10.873+00:00,2026-07-23T10:24:14.132+00:00,3.259,1.0997,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:10.873+00:00,2026-07-23T10:24:14.978+00:00,4.105,1.0497,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:10.873+00:00,2026-07-23T10:24:14.978+00:00,4.105,1.0497,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:20.589+00:00,1.142,1.3849,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:20.589+00:00,1.142,1.0688,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:21.329+00:00,1.882,1.4853,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:21.329+00:00,1.882,1.0813,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:22.102+00:00,2.655,1.4404,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:22.102+00:00,2.655,1.1057,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:22.862+00:00,3.415,1.4711,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:22.862+00:00,3.415,1.1074,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:22.862+00:00,3.415,1.4711,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:19.447+00:00,2026-07-23T10:24:22.862+00:00,3.415,1.1074,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:26.589+00:00,2026-07-23T10:24:28.037+00:00,1.448,1.0587,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:26.589+00:00,2026-07-23T10:24:28.753+00:00,2.164,1.0681,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:26.589+00:00,2026-07-23T10:24:29.584+00:00,2.995,1.0553,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:26.589+00:00,2026-07-23T10:24:29.584+00:00,2.995,1.0553,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:32.988+00:00,2026-07-23T10:24:34.471+00:00,1.483,0.6762,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T10:24:34.471+00:00,2026-07-23T10:24:35.502+00:00,1.031,0.8205,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:32.988+00:00,2026-07-23T10:24:35.502+00:00,2.514,0.6585,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T10:24:34.471+00:00,2026-07-23T10:24:36.225+00:00,1.754,0.7879,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T10:24:34.471+00:00,2026-07-23T10:24:36.225+00:00,1.754,0.7879,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:32.988+00:00,2026-07-23T10:24:35.502+00:00,2.514,0.6585,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:41.330+00:00,2026-07-23T10:24:42.801+00:00,1.471,0.4376,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:43.488+00:00,1.366,0.7286,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_58,UNKNOWN (track 10),UNKNOWN (track 58),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:43.488+00:00,1.366,0.7237,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:41.330+00:00,2026-07-23T10:24:43.488+00:00,2.158,0.4508,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_58,unknown_track_6,UNKNOWN (track 58),UNKNOWN (track 6),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:43.488+00:00,1.366,0.9721,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:44.132+00:00,2.010,0.8014,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T10:24:42.801+00:00,2026-07-23T10:24:44.132+00:00,1.331,0.7209,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_53,UNKNOWN (track 21),UNKNOWN (track 53),2026-07-23T10:24:42.801+00:00,2026-07-23T10:24:44.132+00:00,1.331,0.7667,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_58,UNKNOWN (track 10),UNKNOWN (track 58),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:44.132+00:00,2.010,0.8633,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:41.330+00:00,2026-07-23T10:24:44.132+00:00,2.802,0.6511,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_58,unknown_track_6,UNKNOWN (track 58),UNKNOWN (track 6),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:44.132+00:00,2.010,0.9751,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:44.132+00:00,2.010,0.8014,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T10:24:42.801+00:00,2026-07-23T10:24:44.132+00:00,1.331,0.7209,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_53,UNKNOWN (track 21),UNKNOWN (track 53),2026-07-23T10:24:42.801+00:00,2026-07-23T10:24:44.132+00:00,1.331,0.7667,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_58,UNKNOWN (track 10),UNKNOWN (track 58),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:44.132+00:00,2.010,0.8633,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:41.330+00:00,2026-07-23T10:24:44.132+00:00,2.802,0.6511,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_58,unknown_track_6,UNKNOWN (track 58),UNKNOWN (track 6),2026-07-23T10:24:42.122+00:00,2026-07-23T10:24:44.132+00:00,2.010,0.9751,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:48.186+00:00,2026-07-23T10:24:49.277+00:00,1.091,0.4898,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:48.186+00:00,2026-07-23T10:24:49.855+00:00,1.669,1.1701,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:48.186+00:00,2026-07-23T10:24:49.855+00:00,1.669,0.4795,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:48.186+00:00,2026-07-23T10:24:50.436+00:00,2.250,1.1197,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:48.186+00:00,2026-07-23T10:24:50.436+00:00,2.250,0.5569,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:48.186+00:00,2026-07-23T10:24:50.436+00:00,2.250,1.1197,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:48.186+00:00,2026-07-23T10:24:50.436+00:00,2.250,0.5569,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:54.221+00:00,2026-07-23T10:24:55.546+00:00,1.325,1.2671,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:54.221+00:00,2026-07-23T10:24:55.546+00:00,1.325,0.7113,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:54.221+00:00,2026-07-23T10:24:56.266+00:00,2.045,1.4018,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:54.221+00:00,2026-07-23T10:24:56.266+00:00,2.045,0.8582,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:54.221+00:00,2026-07-23T10:24:56.928+00:00,2.707,0.8922,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:24:54.221+00:00,2026-07-23T10:24:56.266+00:00,2.045,1.4018,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:24:54.221+00:00,2026-07-23T10:24:56.928+00:00,2.707,0.8922,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:02.176+00:00,2026-07-23T10:25:03.559+00:00,1.383,0.9566,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:02.176+00:00,2026-07-23T10:25:05.356+00:00,3.180,0.9916,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:03.559+00:00,2026-07-23T10:25:05.356+00:00,1.797,1.2087,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:25:02.797+00:00,2026-07-23T10:25:05.356+00:00,2.559,0.7910,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:02.176+00:00,2026-07-23T10:25:06.180+00:00,4.004,1.0109,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:03.559+00:00,2026-07-23T10:25:06.180+00:00,2.621,1.2361,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:25:02.797+00:00,2026-07-23T10:25:06.180+00:00,3.383,0.9384,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:02.176+00:00,2026-07-23T10:25:06.180+00:00,4.004,1.0109,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:03.559+00:00,2026-07-23T10:25:06.180+00:00,2.621,1.2361,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:25:02.797+00:00,2026-07-23T10:25:06.180+00:00,3.383,0.9384,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:10.093+00:00,2026-07-23T10:25:11.656+00:00,1.563,0.9587,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:10.093+00:00,2026-07-23T10:25:11.656+00:00,1.563,1.2269,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:10.093+00:00,2026-07-23T10:25:12.577+00:00,2.484,0.9809,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:10.093+00:00,2026-07-23T10:25:12.577+00:00,2.484,1.2517,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:25:10.876+00:00,2026-07-23T10:25:12.577+00:00,1.701,0.6994,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:10.093+00:00,2026-07-23T10:25:13.269+00:00,3.176,1.0328,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:10.093+00:00,2026-07-23T10:25:13.269+00:00,3.176,1.2723,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:25:10.876+00:00,2026-07-23T10:25:13.269+00:00,2.393,0.6392,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:10.093+00:00,2026-07-23T10:25:13.269+00:00,3.176,1.0328,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:10.093+00:00,2026-07-23T10:25:13.269+00:00,3.176,1.2723,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:25:10.876+00:00,2026-07-23T10:25:13.269+00:00,2.393,0.6392,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:17.943+00:00,2026-07-23T10:25:19.319+00:00,1.376,0.9423,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_6,unknown_track_82,UNKNOWN (track 6),UNKNOWN (track 82),2026-07-23T10:25:17.943+00:00,2026-07-23T10:25:19.319+00:00,1.376,0.9193,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:25:18.586+00:00,2026-07-23T10:25:19.968+00:00,1.382,1.1963,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_6,unknown_track_82,UNKNOWN (track 6),UNKNOWN (track 82),2026-07-23T10:25:17.943+00:00,2026-07-23T10:25:19.968+00:00,2.025,1.0434,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:25:18.586+00:00,2026-07-23T10:25:20.656+00:00,2.070,1.2413,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_6,unknown_track_82,UNKNOWN (track 6),UNKNOWN (track 82),2026-07-23T10:25:17.943+00:00,2026-07-23T10:25:20.656+00:00,2.713,1.0448,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:25:18.586+00:00,2026-07-23T10:25:20.656+00:00,2.070,1.2413,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:17.943+00:00,2026-07-23T10:25:19.319+00:00,1.376,0.9423,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_6,unknown_track_82,UNKNOWN (track 6),UNKNOWN (track 82),2026-07-23T10:25:17.943+00:00,2026-07-23T10:25:20.656+00:00,2.713,1.0448,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:25.136+00:00,2026-07-23T10:25:26.425+00:00,1.289,1.0338,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:25.136+00:00,2026-07-23T10:25:26.425+00:00,1.289,1.2899,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:25.136+00:00,2026-07-23T10:25:27.064+00:00,1.928,1.1524,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:25.136+00:00,2026-07-23T10:25:27.064+00:00,1.928,1.3288,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_6,unknown_track_82,UNKNOWN (track 6),UNKNOWN (track 82),2026-07-23T10:25:25.757+00:00,2026-07-23T10:25:27.064+00:00,1.307,1.0823,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:25.136+00:00,2026-07-23T10:25:27.751+00:00,2.615,1.2240,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_6,unknown_track_82,UNKNOWN (track 6),UNKNOWN (track 82),2026-07-23T10:25:25.757+00:00,2026-07-23T10:25:27.751+00:00,1.994,1.0545,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_73,UNKNOWN (track 1),UNKNOWN (track 73),2026-07-23T10:25:25.136+00:00,2026-07-23T10:25:27.751+00:00,2.615,1.2240,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_21,unknown_track_73,UNKNOWN (track 21),UNKNOWN (track 73),2026-07-23T10:25:25.136+00:00,2026-07-23T10:25:27.064+00:00,1.928,1.3288,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_6,unknown_track_82,UNKNOWN (track 6),UNKNOWN (track 82),2026-07-23T10:25:25.757+00:00,2026-07-23T10:25:27.751+00:00,1.994,1.0545,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:25:32.284+00:00,2026-07-23T10:25:33.570+00:00,1.286,0.8909,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:25:32.901+00:00,2026-07-23T10:25:34.224+00:00,1.323,1.2607,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_53,UNKNOWN (track 1),UNKNOWN (track 53),2026-07-23T10:25:32.901+00:00,2026-07-23T10:25:34.224+00:00,1.323,0.8676,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_6,UNKNOWN (track 10),UNKNOWN (track 6),2026-07-23T10:25:32.284+00:00,2026-07-23T10:25:34.224+00:00,1.940,1.0156,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:25:32.901+00:00,2026-07-23T10:25:34.876+00:00,1.975,1.3260,sustained_proximity_estimate
