event,camera,person_a,person_b,person_a_name,person_b_name,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:11.997+00:00,2026-07-23T10:28:13.476+00:00,1.479,0.9097,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:11.997+00:00,2026-07-23T10:28:14.804+00:00,2.807,0.8801,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:13.476+00:00,2026-07-23T10:28:14.804+00:00,1.328,1.0009,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:11.997+00:00,2026-07-23T10:28:15.612+00:00,3.615,0.8494,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:13.476+00:00,2026-07-23T10:28:15.612+00:00,2.136,1.1073,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:11.997+00:00,2026-07-23T10:28:15.612+00:00,3.615,0.8494,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:13.476+00:00,2026-07-23T10:28:15.612+00:00,2.136,1.1073,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:20.839+00:00,2026-07-23T10:28:22.461+00:00,1.622,1.0931,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:20.839+00:00,2026-07-23T10:28:22.461+00:00,1.622,1.2027,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:20.839+00:00,2026-07-23T10:28:23.394+00:00,2.555,1.1466,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:20.839+00:00,2026-07-23T10:28:23.394+00:00,2.555,1.2263,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:20.839+00:00,2026-07-23T10:28:24.232+00:00,3.393,1.1586,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:20.839+00:00,2026-07-23T10:28:24.232+00:00,3.393,1.2134,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:20.839+00:00,2026-07-23T10:28:24.232+00:00,3.393,1.1586,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:20.839+00:00,2026-07-23T10:28:24.232+00:00,3.393,1.2134,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:31.497+00:00,1.829,1.0630,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:31.497+00:00,1.829,1.1391,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_5,UNKNOWN (track 1),UNKNOWN (track 5),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:31.497+00:00,1.829,1.3996,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:32.784+00:00,3.116,1.0220,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:32.784+00:00,3.116,1.0848,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_5,UNKNOWN (track 1),UNKNOWN (track 5),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:32.784+00:00,3.116,1.4142,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:33.938+00:00,4.270,0.8133,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:33.938+00:00,4.270,1.0441,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_5,UNKNOWN (track 1),UNKNOWN (track 5),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:33.938+00:00,4.270,1.4588,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:33.938+00:00,4.270,0.8133,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:33.938+00:00,4.270,1.0441,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_5,UNKNOWN (track 1),UNKNOWN (track 5),2026-07-23T10:28:29.668+00:00,2026-07-23T10:28:33.938+00:00,4.270,1.4588,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:41.473+00:00,1.371,0.7738,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:41.473+00:00,1.371,1.0352,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:42.581+00:00,2.479,0.9358,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:42.581+00:00,2.479,1.0452,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:43.823+00:00,3.721,0.9800,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:43.823+00:00,3.721,1.0697,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:44.939+00:00,4.837,0.9671,sustained_proximity_estimate
UPDATED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:44.939+00:00,4.837,1.0574,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:44.939+00:00,4.837,0.9671,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:40.102+00:00,2026-07-23T10:28:44.939+00:00,4.837,1.0574,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q2],unknown_track_10,unknown_track_14,UNKNOWN (track 10),UNKNOWN (track 14),2026-07-23T10:28:50.734+00:00,2026-07-23T10:28:52.425+00:00,1.691,0.9209,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q1],unknown_track_1,unknown_track_21,UNKNOWN (track 1),UNKNOWN (track 21),2026-07-23T10:28:50.734+00:00,2026-07-23T10:28:52.425+00:00,1.691,1.0303,sustained_proximity_estimate
