event,camera,person_a,person_b,person_a_name,person_b_name,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_24,Shrayan Sarkar,UNKNOWN (track 24),2026-07-24T06:26:30.082+00:00,2026-07-24T06:26:33.853+00:00,3.771,0.6230,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_28,Shrayan Sarkar,UNKNOWN (track 28),2026-07-24T06:26:30.082+00:00,2026-07-24T06:26:33.853+00:00,3.771,1.2207,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_24,unknown_track_28,UNKNOWN (track 24),UNKNOWN (track 28),2026-07-24T06:26:30.082+00:00,2026-07-24T06:26:33.853+00:00,3.771,1.1206,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_3,unknown_track_7,UNKNOWN (track 3),UNKNOWN (track 7),2026-07-24T06:26:30.082+00:00,2026-07-24T06:26:33.853+00:00,3.771,0.6558,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_24,Shrayan Sarkar,UNKNOWN (track 24),2026-07-24T06:26:30.082+00:00,2026-07-24T06:26:33.853+00:00,3.771,0.6230,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_28,Shrayan Sarkar,UNKNOWN (track 28),2026-07-24T06:26:30.082+00:00,2026-07-24T06:26:33.853+00:00,3.771,1.2207,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_24,unknown_track_28,UNKNOWN (track 24),UNKNOWN (track 28),2026-07-24T06:26:30.082+00:00,2026-07-24T06:26:33.853+00:00,3.771,1.1206,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_3,unknown_track_7,UNKNOWN (track 3),UNKNOWN (track 7),2026-07-24T06:26:30.082+00:00,2026-07-24T06:26:33.853+00:00,3.771,0.6558,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_24,Shrayan Sarkar,UNKNOWN (track 24),2026-07-24T06:26:58.577+00:00,2026-07-24T06:27:02.314+00:00,3.737,0.5836,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_24,unknown_track_28,UNKNOWN (track 24),UNKNOWN (track 28),2026-07-24T06:26:58.577+00:00,2026-07-24T06:27:02.314+00:00,3.737,1.4010,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_3,unknown_track_7,UNKNOWN (track 3),UNKNOWN (track 7),2026-07-24T06:26:58.577+00:00,2026-07-24T06:27:02.314+00:00,3.737,0.5858,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_24,Shrayan Sarkar,UNKNOWN (track 24),2026-07-24T06:26:58.577+00:00,2026-07-24T06:27:02.314+00:00,3.737,0.5836,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_24,unknown_track_28,UNKNOWN (track 24),UNKNOWN (track 28),2026-07-24T06:26:58.577+00:00,2026-07-24T06:27:02.314+00:00,3.737,1.4010,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_3,unknown_track_7,UNKNOWN (track 3),UNKNOWN (track 7),2026-07-24T06:26:58.577+00:00,2026-07-24T06:27:02.314+00:00,3.737,0.5858,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],7de79667-0e08-4152-b45d-1958ba84a996,b20659d6-0ffd-4647-bd8e-b9140be6c652,Sarisht Shreshth,Shrayan Sarkar,2026-07-24T06:28:36.583+00:00,2026-07-24T06:28:39.977+00:00,3.394,0.7377,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],7de79667-0e08-4152-b45d-1958ba84a996,b20659d6-0ffd-4647-bd8e-b9140be6c652,Sarisht Shreshth,Shrayan Sarkar,2026-07-24T06:28:36.583+00:00,2026-07-24T06:28:39.977+00:00,3.394,0.6864,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],7de79667-0e08-4152-b45d-1958ba84a996,b20659d6-0ffd-4647-bd8e-b9140be6c652,Sarisht Shreshth,Shrayan Sarkar,2026-07-24T06:28:36.583+00:00,2026-07-24T06:28:39.977+00:00,3.394,0.7377,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],7de79667-0e08-4152-b45d-1958ba84a996,b20659d6-0ffd-4647-bd8e-b9140be6c652,Sarisht Shreshth,Shrayan Sarkar,2026-07-24T06:28:36.583+00:00,2026-07-24T06:28:39.977+00:00,3.394,0.6864,sustained_proximity_estimate
