event,camera,person_a,person_b,person_a_name,person_b_name,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:54:39.173+00:00,2026-07-24T06:54:42.480+00:00,3.307,0.6249,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_12,unknown_track_16,UNKNOWN (track 12),UNKNOWN (track 16),2026-07-24T06:54:39.173+00:00,2026-07-24T06:54:42.480+00:00,3.307,1.3394,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_12,unknown_track_24,UNKNOWN (track 12),UNKNOWN (track 24),2026-07-24T06:54:39.173+00:00,2026-07-24T06:54:42.480+00:00,3.307,0.7510,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:54:39.173+00:00,2026-07-24T06:54:42.480+00:00,3.307,0.6249,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_12,unknown_track_16,UNKNOWN (track 12),UNKNOWN (track 16),2026-07-24T06:54:39.173+00:00,2026-07-24T06:54:42.480+00:00,3.307,1.3394,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_12,unknown_track_24,UNKNOWN (track 12),UNKNOWN (track 24),2026-07-24T06:54:39.173+00:00,2026-07-24T06:54:42.480+00:00,3.307,0.7510,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:54:45.665+00:00,2026-07-24T06:54:49.063+00:00,3.398,0.6158,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_12,unknown_track_24,UNKNOWN (track 12),UNKNOWN (track 24),2026-07-24T06:54:45.665+00:00,2026-07-24T06:54:49.063+00:00,3.398,0.8006,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:54:45.665+00:00,2026-07-24T06:54:49.063+00:00,3.398,0.6158,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],unknown_track_12,unknown_track_24,UNKNOWN (track 12),UNKNOWN (track 24),2026-07-24T06:54:45.665+00:00,2026-07-24T06:54:49.063+00:00,3.398,0.8006,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:54:52.524+00:00,2026-07-24T06:54:55.904+00:00,3.380,0.5905,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:54:52.524+00:00,2026-07-24T06:54:55.904+00:00,3.380,0.5905,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:54:59.232+00:00,2026-07-24T06:55:02.736+00:00,3.504,0.6261,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_12,Shrayan Sarkar,UNKNOWN (track 12),2026-07-24T06:54:59.232+00:00,2026-07-24T06:55:02.736+00:00,3.504,0.7408,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:54:59.232+00:00,2026-07-24T06:55:02.736+00:00,3.504,0.6261,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_12,Shrayan Sarkar,UNKNOWN (track 12),2026-07-24T06:54:59.232+00:00,2026-07-24T06:55:02.736+00:00,3.504,0.7408,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:55:06.828+00:00,2026-07-24T06:55:10.403+00:00,3.575,0.6347,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_12,Shrayan Sarkar,UNKNOWN (track 12),2026-07-24T06:55:06.828+00:00,2026-07-24T06:55:10.403+00:00,3.575,0.6910,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:55:06.828+00:00,2026-07-24T06:55:10.403+00:00,3.575,0.6347,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,unknown_track_12,Shrayan Sarkar,UNKNOWN (track 12),2026-07-24T06:55:06.828+00:00,2026-07-24T06:55:10.403+00:00,3.575,0.6910,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:55:20.840+00:00,2026-07-24T06:55:24.417+00:00,3.577,0.6259,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],unknown_track_19,unknown_track_3,UNKNOWN (track 19),UNKNOWN (track 3),2026-07-24T06:55:20.840+00:00,2026-07-24T06:55:24.417+00:00,3.577,0.6259,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],7de79667-0e08-4152-b45d-1958ba84a996,unknown_track_3,Sarisht Shreshth,UNKNOWN (track 3),2026-07-24T06:55:42.233+00:00,2026-07-24T06:55:45.786+00:00,3.553,0.6347,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],7de79667-0e08-4152-b45d-1958ba84a996,unknown_track_3,Sarisht Shreshth,UNKNOWN (track 3),2026-07-24T06:55:42.233+00:00,2026-07-24T06:55:45.786+00:00,3.553,0.6347,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],7de79667-0e08-4152-b45d-1958ba84a996,unknown_track_3,Sarisht Shreshth,UNKNOWN (track 3),2026-07-24T06:55:51.372+00:00,2026-07-24T06:55:54.783+00:00,3.411,0.5631,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],1d7a882e-c39d-4452-ab50-3624300f4938,7de79667-0e08-4152-b45d-1958ba84a996,Swapnil,Sarisht Shreshth,2026-07-24T06:55:51.372+00:00,2026-07-24T06:55:54.783+00:00,3.411,1.2444,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],7de79667-0e08-4152-b45d-1958ba84a996,unknown_track_3,Sarisht Shreshth,UNKNOWN (track 3),2026-07-24T06:55:51.372+00:00,2026-07-24T06:55:54.783+00:00,3.411,0.5631,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],1d7a882e-c39d-4452-ab50-3624300f4938,7de79667-0e08-4152-b45d-1958ba84a996,Swapnil,Sarisht Shreshth,2026-07-24T06:55:51.372+00:00,2026-07-24T06:55:54.783+00:00,3.411,1.2444,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q3],7de79667-0e08-4152-b45d-1958ba84a996,unknown_track_3,Sarisht Shreshth,UNKNOWN (track 3),2026-07-24T06:55:58.202+00:00,2026-07-24T06:56:01.760+00:00,3.558,0.6111,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],1d7a882e-c39d-4452-ab50-3624300f4938,7de79667-0e08-4152-b45d-1958ba84a996,Swapnil,Sarisht Shreshth,2026-07-24T06:55:58.202+00:00,2026-07-24T06:56:01.760+00:00,3.558,1.1962,sustained_proximity_estimate
STARTED,NDI: SHINJAN (shinjan-pc) [Q4],7de79667-0e08-4152-b45d-1958ba84a996,b20659d6-0ffd-4647-bd8e-b9140be6c652,Sarisht Shreshth,Shrayan Sarkar,2026-07-24T06:55:58.202+00:00,2026-07-24T06:56:01.760+00:00,3.558,0.6211,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q3],7de79667-0e08-4152-b45d-1958ba84a996,unknown_track_3,Sarisht Shreshth,UNKNOWN (track 3),2026-07-24T06:55:58.202+00:00,2026-07-24T06:56:01.760+00:00,3.558,0.6111,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],1d7a882e-c39d-4452-ab50-3624300f4938,7de79667-0e08-4152-b45d-1958ba84a996,Swapnil,Sarisht Shreshth,2026-07-24T06:55:58.202+00:00,2026-07-24T06:56:01.760+00:00,3.558,1.1962,sustained_proximity_estimate
ENDED,NDI: SHINJAN (shinjan-pc) [Q4],7de79667-0e08-4152-b45d-1958ba84a996,b20659d6-0ffd-4647-bd8e-b9140be6c652,Sarisht Shreshth,Shrayan Sarkar,2026-07-24T06:55:58.202+00:00,2026-07-24T06:56:01.760+00:00,3.558,0.6211,sustained_proximity_estimate
