camera,person_a,person_b,timestamp,duration_seconds
ROOM,Om,sarisht,2026-08-07 12:08:27,0.00
ROOM,Om,sarisht,2026-08-07 12:08:28,0.09
ROOM,sarisht,satyabrata,2026-08-07 12:08:29,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:29,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:29,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:29,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:30,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:30,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:30,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:30,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:30,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:30,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:30,0.00
ROOM,Om,sarisht,2026-08-07 12:08:29,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:31,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:31,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:31,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:31,0.00
ROOM,Om,satyabrata,2026-08-07 12:08:29,0.17
ROOM,sarisht,satyabrata,2026-08-07 12:08:31,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:31,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:32,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:32,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:32,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:32,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:32,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:32,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:33,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:33,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:33,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:33,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:33,0.00
ROOM,sarisht,Unknown-CAM3-24,2026-08-07 12:08:33,0.00
ROOM,Om,sarisht,2026-08-07 12:08:33,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:33,0.00
ROOM,sarisht,Unknown-CAM3-24,2026-08-07 12:08:33,0.00
ROOM,Om,sarisht,2026-08-07 12:08:33,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:08:34,0.00
ROOM,Om,Unknown-CAM3-24,2026-08-07 12:08:33,0.16
ROOM,sarisht,Unknown-CAM1-29,2026-08-07 12:08:38,0.00
ROOM,Om,sarisht,2026-08-07 12:08:40,2.53
ROOM,Om,sarisht,2026-08-07 12:08:43,0.00
ROOM,Om,sarisht,2026-08-07 12:08:43,0.00
ROOM,Om,sarisht,2026-08-07 12:08:43,0.00
ROOM,Om,sarisht,2026-08-07 12:08:43,0.00
ROOM,Om,sarisht,2026-08-07 12:08:43,0.00
ROOM,Om,sarisht,2026-08-07 12:08:43,0.00
ROOM,Om,sarisht,2026-08-07 12:08:44,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:08:45,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:08:45,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:08:45,0.00
ROOM,Om,sarisht,2026-08-07 12:08:44,0.70
ROOM,satyabrata,satyabrata,2026-08-07 12:08:45,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:08:45,0.12
ROOM,satyabrata,satyabrata,2026-08-07 12:08:46,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:08:46,0.00
ROOM,Om,sarisht,2026-08-07 12:08:45,1.00
ROOM,Om,sarisht,2026-08-07 12:08:46,0.00
ROOM,Om,sarisht,2026-08-07 12:08:46,0.00
ROOM,Om,sarisht,2026-08-07 12:08:47,0.00
ROOM,Om,sarisht,2026-08-07 12:08:47,0.00
ROOM,Om,sarisht,2026-08-07 12:08:47,0.00
ROOM,Om,sarisht,2026-08-07 12:08:47,0.00
ROOM,Om,sarisht,2026-08-07 12:08:47,0.00
ROOM,Om,sarisht,2026-08-07 12:08:47,0.00
ROOM,Om,sarisht,2026-08-07 12:08:48,0.00
ROOM,Om,sarisht,2026-08-07 12:08:48,0.00
ROOM,Om,sarisht,2026-08-07 12:08:48,0.00
ROOM,Om,sarisht,2026-08-07 12:08:48,0.28
ROOM,sarisht,swapnil,2026-08-07 12:08:48,0.57
ROOM,Om,sarisht,2026-08-07 12:08:48,0.39
ROOM,Om,sarisht,2026-08-07 12:08:50,0.00
ROOM,Unknown-CAM3-1,Unknown-CAM3-2,2026-08-07 12:30:44,0.00
ROOM,Unknown-CAM4-9,Unknown-CAM4-10,2026-08-07 12:30:44,0.00
ROOM,Unknown-CAM4-9,Unknown-CAM4-14,2026-08-07 12:30:47,0.00
ROOM,Unknown-CAM4-9,Unknown-CAM4-14,2026-08-07 12:30:47,0.00
ROOM,sarisht,Unknown-CAM3-3,2026-08-07 12:30:47,0.28
ROOM,Unknown-CAM1-11,Unknown-CAM1-12,2026-08-07 12:30:47,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:30:46,0.82
ROOM,satyabrata,satyabrata,2026-08-07 12:30:47,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:30:47,1.92
ROOM,satyabrata,shinjan,2026-08-07 12:31:03,0.00
ROOM,sarisht,Unknown-CAM3-17,2026-08-07 12:31:04,0.73
ROOM,satyabrata,shinjan,2026-08-07 12:31:05,0.00
ROOM,shinjan,Unknown-CAM4-20,2026-08-07 12:31:05,0.94
ROOM,shinjan,Unknown-CAM4-9,2026-08-07 12:31:06,0.00
ROOM,sarisht,swapnil,2026-08-07 12:31:09,0.19
ROOM,Om,satyabrata,2026-08-07 12:31:09,0.83
ROOM,shinjan,Unknown-CAM4-9,2026-08-07 12:31:09,2.69
ROOM,sarisht,swapnil,2026-08-07 12:31:10,2.30
ROOM,sarisht,swapnil,2026-08-07 12:31:13,0.53
ROOM,sarisht,swapnil,2026-08-07 12:31:14,0.00
ROOM,sarisht,swapnil,2026-08-07 12:31:14,0.51
ROOM,sarisht,swapnil,2026-08-07 12:31:15,0.00
ROOM,sarisht,swapnil,2026-08-07 12:31:15,0.39
ROOM,satyabrata,satyabrata,2026-08-07 12:31:09,9.80
ROOM,sarisht,shinjan,2026-08-07 12:31:26,0.28
ROOM,shinjan,Unknown-CAM4-9,2026-08-07 12:31:27,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:31:27,1.95
ROOM,shinjan,Unknown-CAM4-9,2026-08-07 12:31:32,0.00
ROOM,shinjan,Unknown-CAM4-26,2026-08-07 12:31:36,0.78
ROOM,sarisht,shrayan,2026-08-07 12:31:41,0.19
ROOM,Om,sarisht,2026-08-07 12:31:42,0.00
ROOM,sarisht,Unknown-CAM4-9,2026-08-07 12:31:42,0.00
ROOM,sarisht,Unknown-CAM4-9,2026-08-07 12:31:43,0.00
ROOM,shinjan,shinjan,2026-08-07 12:31:41,0.41
ROOM,Om,sarisht,2026-08-07 12:31:42,1.00
ROOM,sarisht,shinjan,2026-08-07 12:31:43,0.00
ROOM,Om,sarisht,2026-08-07 12:31:43,0.00
ROOM,shrayan,Unknown-CAM1-40,2026-08-07 12:31:43,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,shrayan,Unknown-CAM1-40,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,sarisht,shinjan,2026-08-07 12:31:45,0.00
ROOM,Om,sarisht,2026-08-07 12:31:45,0.00
ROOM,sarisht,shinjan,2026-08-07 12:31:45,0.00
ROOM,Om,sarisht,2026-08-07 12:31:45,0.00
